Year,Swain,Haywood,Sevier,Blount,Cocke,Pima,Navajo,Apache,Klamath,Humboldt,Lake and Peninsula,Kodiak Island,Kenai Peninsula,Bristol Bay borough,Montezuma,Miami Dade,Monroe,Collier,Coconino,Mohave,Santa Barbara,Ventura
2020,441,1200,1656,2004,696,10301,409,,,1719,,278,259,39,259,39536,1060,6432,,2302,2530,1438
2019,328,1268,1789,2438,725,9271,472,194,,1980,,366,651,57,227,44147,1271,7122,651,2642,2326,1343
2018,,1408,1987,2232,722,10867,508,164,,1624,,497,760,27,252,,,,646,2747,2377,1443
2017,264,1428,2517,2398,956,11638,690,,,1645,,567,625,27,225,48339,1725,6997,819,3180,2885,1470
2016,267,1481,2353,2555,958,11622,662,,,1483,,627,555,35,262,49256,1793,6924,841,,2996,1377
2015,333,1131,2163,2487,912,11685,763,206,1079,1472,,415,501,21,247,48915,1898,7157,869,2767,3048,1449
2014,280,1278,2150,2427,992,12117,882,363,1102,1459,,472,520,30,260,51868,2123,7241,849,2917,2856,1467
2013,285,1464,2422,2381,1065,12769,855,331,1029,1482,,447,435,48,195,52522,2340,6932,816,2916,2947,1540
2012,349,1375,3018,2916,1332,14936,1033,332,681,1525,,447,528,71,207,53607,2550,7482,900,3071,2830,1808
2011,403,1310,2949,3084,1841,15082,828,270,699,1749,,447,393,53,276,58074,2637,8185,967,2915,2429,1776
