Airport_code,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25
BNA,179 ,179 ,119 ,168 ,183 ,179 ,168 ,147 ,194 ,183 ,240 ,198 ,147 ,177 
TUS,275 ,347 ,297 ,432 ,385 ,385 ,385 ,587 ,587 ,587 ,587 ,612 ,587 ,587 
PHX,317 ,317 ,317 ,290 ,347 ,432 ,285 ,432 ,635 ,635 ,635 ,635 ,635 ,635 
PDX,385 ,347 ,347 ,656 ,437 ,656 ,385 ,656 ,661 ,661 ,656 ,656 ,,656 
SFO,352 ,275 ,347 ,665 ,665 ,665 ,665 ,670 ,665 ,665 ,665 ,690 ,665 ,665 
ANC,,,,,,,,,,,,,,
MTJ,213 ,207 ,207 ,385 ,438 ,502 ,293 ,353 ,527 ,438 ,502 ,521 ,432 ,
MIA,64 ,152 ,127 ,127 ,197 ,249 ,290 ,220 ,197 ,197 ,391 ,432 ,618 ,264 
PHX,317 ,317 ,317 ,290 ,347 ,432 ,285 ,432 ,635 ,635 ,635 ,635 ,635 ,635 
LAX,254 ,250 ,250 ,347 ,385 ,391 ,432 ,682 ,682 ,682 ,682 ,682 ,682 ,682 
