,Name,median_household_income,parking,restaurant,tickets,max_temperature,min_temperature,Precipitation,Wind_Speed,crime_pop1000,tickets_label,label
0,Channel Islands National Park,87130.59623149394,2468,938,No,67.40307692307692,51.94461538461539,0.4549123076923077,13.446153846153846,3.9518060899340375,0,1
1,Crater Lake National Park,45011.746268656716,238,55,Yes,47.46153846153846,38.238461538461536,1.02004,15.246153846153845,13.717667100013449,1,0
2,Everglades National Park,61926.722490606546,6661,1841,Yes,79.58153846153846,64.70769230769231,0.82052,13.184615384615384,21.051961529063945,1,2
3,Grand Canyon National Park,51069.023148148146,1104,341,Yes,67.8,45.995384615384616,0.1282523076923077,11.538461538461538,9.702907652618272,1,0
4,Petrified Forest National Park,36470.41353383459,458,125,No,67.8,45.995384615384616,0.1282523076923077,11.538461538461538,5.10760436396181,0,0
5,Great Smoky Mountains National Park,47624.33971291866,1035,337,No,53.00615384615385,36.52,1.3998923076923075,13.846153846153847,23.281709555779486,0,0
6,Katmai National Park,66896.33333333333,525,112,No,1.049122807017544,-5.689473684210527,0.0063859649122807016,5.912280701754386,29.83074814305353,0,2
7,Mesa Verde National Park,49601.22727272727,114,31,Yes,39.581538461538464,17.74923076923077,0.07404,12.738461538461538,9.258192155506896,1,0
8,Redwood National Park,47756.42592592593,802,161,No,58.19230769230769,47.09076923076923,0.5271461538461538,14.692307692307692,11.871413859055465,0,0
9,Saguaro National Park,53585.04761904762,13962,876,Yes,68.0676923076923,40.52461538461538,0.09021846153846153,14.415384615384616,11.710200573010114,1,2
