,park,polarity,Visitor_10_years,Normalized,score
0,Great Smoky Mountains National Park,0.8,97545328,1.0,0.9
1,Grand Canyon National Park,0.4185653409090909,47107124,0.482496466,0.4505309034545455
2,Yosemite National Park,0.32803571428571426,39131537,0.400665748,0.3643507311428571
3,Rocky Mountain National Park,0.18611111111111112,32936870,0.337107536,0.26160932355555555
4,Yellowstone National Park,0.446178354978355,35051751,0.358806532,0.4024924434891775
5,Acadia National Park,0.12460317460317459,24748316,0.253091745,0.1888474598015873
6,Olympic National Park,0.6405303030303031,30965763,0.316883683,0.47870699301515157
7,Grand Teton National Park,0.36759259259259264,27516892,0.28149775,0.32454517129629634
8,Shenandoah National Park,0.5925,12128595,0.123611516,0.358055758
9,Zion National Park,0.5162934027777778,30488977,0.311991787,0.41414259488888894
10,Glacier National Park,0.2674464886964887,21979990,0.224688305,0.24606739684824436
11,Mount Rainier National Park,0.6333333333333333,11648682,0.118687536,0.37601043466666667
12,Hot Springs National Park,0.5625,13546337,0.138157761,0.3503288805
13,Mammoth Cave National Park,0.047,5096511,0.05146128,0.04923064
14,Hawai'i Volcanoes National Park,0.5,15108594,0.154186752,0.327093376
15,Cuyahoga Valley National Park,,23858615,0.243963279,
16,Badlands National Park,0.175,9144314,0.092992345,0.1339961725
17,Sequoia National Park,0.3192460317460317,10291427,0.104761897,0.21200396437301586
18,Joshua Tree National Park,0.24772727272727268,15727512,0.160536944,0.20413210836363632
19,Everglades National Park,0.6259469696969697,9955910,0.101319442,0.36363320584848485
20,Petrified Forest National Park,0.17777777777777773,6600499,0.066892422,0.12233509988888887
21,Kings Canyon National Park,0.2833333333333333,5665740,0.057301655,0.17031749416666667
22,Haleakala National Park,0.5520833333333334,11181922,0.113898509,0.3329909211666667
23,Bryce Canyon National Park,0.16805555555555554,14097635,0.143814161,0.15593485827777775
24,Death Valley National Park,0.3,9825254,0.099978892,0.199989446
25,Carlsbad Caverns National Park,,4115530,0.041396268,
26,Wind Cave National Park,,5701816,0.0576718,
27,Crater Lake National Park,0.5333333333333333,5079872,0.051290561,0.29231194716666664
28,Saguaro National Park,0.47395833333333337,6910498,0.070073058,0.27201569566666667
29,Mesa Verde National Park,1.0,5356478,0.05412858,0.52706429
30,Arches National Park,0.46041666666666664,11263626,0.114736804,0.28757673533333333
31,Theodore Roosevelt National Park,,5826613,0.058952236,
32,Lassen Volcanic National Park,,4146095,0.041709869,
33,Virgin Islands National Park,,4590741,0.046272004,
34,Capitol Reef National Park,0.3245833333333334,7237883,0.073432077,0.1990077051666667
35,Wolf Trap National Park for the Performing Arts,,4503848,0.045380469,
36,Redwood National Park,0.4846666666666667,4263970,0.042919284,0.26379297533333335
37,Biscayne National Park,,5116017,0.051661414,
38,Denali National Park,0.022222222222222227,4632934,0.04670491,0.034463566111111114
39,Denali National Preserve,,4632934,0.04670491,
40,Big Bend National Park,0.2555555555555556,3518612,0.0352718,0.1454136777777778
41,North Cascades National Park,-0.16666666666666666,230844,0.001538807,-0.08256392983333333
42,Canyonlands National Park,1.0,5068647,0.051175391,0.5255876955
43,Black Canyon of the Gunnison National Park,,1894543,0.018608608,
44,Great Sand Dunes National Park,0.35833333333333334,2869431,0.028611105,0.19347221916666668
45,Channel Islands National Park,0.8,3055406,0.030519237,0.41525961850000004
46,Glacier Bay National Park,,4699177,0.047384573,
47,Pinnacles National Park,0.5,2219789,0.021945681,0.2609728405
48,Voyageurs National Park,0.20000000000000004,2263355,0.022392675,0.11119633750000002
49,Guadalupe Mountains National Park,0.65,1695729,0.016568747,0.3332843735
50,Kenai Fjords National Park,,2898278,0.02890708,
51,Great Basin National Park,,972132,0.009144533,
52,Congaree National Park,0.5,1166284,0.011136562,0.255568281
53,Dry Tortugas National Park,,634253,0.005677844,
54,Wrangell-St. Elias National Park,,716416,0.006520849,
55,Katmai National Park,1.0,413066,0.003408432,0.501704216
56,Isle Royale National Park,0.7,167496,0.000888847,0.3504444235
57,Lake Clark National Park,,116810,0.000368801,
58,Gates of the Arctic National Park,,110149,0.000300458,
59,Kobuk Valley National Park,,80865,0.0,
60,National Park of American Samoa,,110517,0.000304234,
